constraints	_samples	_average time (real s)	_median time (real s)	_siqr time (real s)	_q_lower time (real s)	_q_upper time (real s)	_min time (real s)	_max time (real s)
4	430	0.041239288372093	0.039219	0.00068375	0.038599	0.0399665	0.014545	0.549260
5	27	0.0477547407407407	0.041008	0.000779499999999999	0.0402135	0.0417725	0.039090	0.160287
6	1041	0.0429402641690682	0.041068	0.000658000000000002	0.040544	0.041860	0.038653	0.611131
7	41	0.0444247317073171	0.042319	0.000793000000000002	0.041912	0.043498	0.040490	0.112780
8	3607	0.0543221962850014	0.044411	0.00165625	0.043394	0.0467065	0.041295	0.633822
9	109	0.0734261009174312	0.054469	0.025742	0.046762	0.098246	0.043992	0.546679
10	3326	0.0636880435959111	0.0500935	0.00288425	0.0487605	0.054529	0.046375	0.809485
11	159	0.0759866855345912	0.058708	0.0229625	0.0549865	0.1009115	0.048929	0.595077
12	3294	0.0782071241651487	0.056981	0.02882825	0.0557585	0.113415	0.052064	1.099422
13	302	0.0869322880794702	0.0688395	0.020591	0.0638055	0.1049875	0.055815	0.531296
14	3240	0.0923616135802469	0.0676305	0.03483225	0.065502	0.1351665	0.057820	1.165900
15	252	0.140077738095238	0.104612	0.0365165	0.0805055	0.1535385	0.065009	1.173531
16	1563	0.121786138835573	0.081545	0.042016	0.0796435	0.1636755	0.075182	1.369927
17	161	0.187781440993789	0.186667	0.081183	0.088719	0.251085	0.080467	0.545240
18	917	0.174702663031625	0.194821	0.050213	0.099025	0.199451	0.087008	1.427232
19	97	0.247921453608247	0.232811	0.053236	0.172174	0.278646	0.092982	0.698508
20	605	0.197891332231405	0.125202	0.0583675	0.122176	0.238911	0.118955	1.318898
21	81	0.348509037037037	0.177962	0.1350885	0.155959	0.426136	0.113190	2.514709
22	1572	0.208883201017812	0.155985	0.002537	0.154254	0.159328	0.150898	23.523958
23	67	0.405569686567164	0.192390	0.088796	0.164155	0.341747	0.135507	5.772800
24	1315	0.272885140684411	0.195235	0.00745875	0.191883	0.2068005	0.188035	26.006154
25	77	1.50422290909091	0.273095	0.0954305	0.200325	0.391186	0.165970	89.646556
26	740	0.351913745945946	0.249915	0.099653	0.2435625	0.4428685	0.235647	3.290200
27	42	0.8722575	0.501622	0.24554875	0.253171	0.7442685	0.203707	4.777488
28	269	0.588471613382899	0.535872	0.00742500000000001	0.526689	0.541539	0.217328	1.954707
29	19	1.28829931578947	1.178388	0.59967	0.59936	1.7987	0.254099	3.157109
30	21	1.05913747619048	1.008349	0.2278925	0.689229	1.145014	0.262801	2.336550
31	14	2.1889775	1.94879	1.035514	1.014563	3.085591	0.640667	5.868458
32	19	2.29441315789474	1.845836	0.060573	1.788818	1.909964	1.013230	12.388325
33	14	2.76497721428571	2.2190395	1.07442975	1.4078035	3.556663	0.665461	6.323528
34	10	2.301262	1.974846	0.16060775	1.6823885	2.003604	1.403070	4.543345
35	17	3.41993382352941	3.030528	0.831158	2.362916	4.025232	1.198557	10.204791
36	4	1.86660325	1.607662	0.60862925	1.257974	2.4752325	1.078092	3.172997
37	13	4.04605207692308	3.497870	1.1870575	2.607053	4.981168	2.022845	7.025868
38	1	17.281277	17.281277	0	17.281277	17.281277	17.281277	17.281277
39	6	10.356909	6.460031	0.987332250000001	5.651755	7.6264195	4.300442	31.284663
40	3	14.4311046666667	20.135872	4.5234455	11.333851	20.380742	2.531830	20.625612
41	1	8.605754	8.605754	0	8.605754	8.605754	8.605754	8.605754
42	1	2.271668	2.271668	0	2.271668	2.271668	2.271668	2.271668
44	1	29.564739	29.564739	0	29.564739	29.564739	29.564739	29.564739
47	1	45.37733	45.377330	0	45.377330	45.377330	45.377330	45.377330
48	1	2.60651	2.606510	0	2.606510	2.606510	2.606510	2.606510
58	1	86.316695	86.316695	0	86.316695	86.316695	86.316695	86.316695
